C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_10_441.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_10_441.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_10_441.jpg, 0, 0, 0, 7.787076E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_10_552.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_10_552.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_10_552.jpg, 0, 0, 0, 7.86017E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_10_656.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_10_656.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_10_656.jpg, 0, 0, 0, 7.771568E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_10_762.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_10_762.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_10_762.jpg, 0, 0, 0, 7.873007E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_10_880.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_10_880.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_10_880.jpg, 0, 0, 0, 7.829244E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_11_000.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_11_000.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_11_000.jpg, 0, 0, 0, 7.78462E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_11_109.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_11_109.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_11_109.jpg, 0, 0, 0, 7.854644E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_11_216.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_11_216.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_11_216.jpg, 0, 0, 0, 7.908695E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_11_321.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_11_321.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_11_321.jpg, 0, 0, 0, 8.224617E-05
C:\Users\Vamsi\Desktop\IMG\center_2021_07_29_12_03_11_426.jpg, C:\Users\Vamsi\Desktop\IMG\left_2021_07_29_12_03_11_426.jpg, C:\Users\Vamsi\Desktop\IMG\right_2021_07_29_12_03_11_426.jpg, 0, 0, 0, 7.902525E-05
